NO,식품명,식품대분류,식품상세분류,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎)
2146,브라우니 눈꽃빙수,아이스크림류,빙수류,511,974.8,9.2,-,-,74.1,328.4
2147,블루베리 치즈크림 눈꽃빙수,아이스크림류,빙수류,635,944.5,6.5,-,-,97.8,281
2148,자두복숭아눈꽃빙수,아이스크림류,빙수류,665,621,0,-,-,57.3,93.9
2149,타로눈꽃빙수,아이스크림류,빙수류,500,783.9,5.1,-,-,55.1,272.9
2150,망고치즈눈꽃빙수,아이스크림류,빙수류,710,856,3.7,-,-,81.2,118.1
2151,딸기치즈눈꽃빙수(일반),아이스크림류,빙수류,527,828.1,11.8,-,-,69.1,251
2152,딸기치즈눈꽃빙수(우유),아이스크림류,빙수류,725,858.8,11.6,-,-,104.9,244.7
2153,초코눈꽃빙수,아이스크림류,빙수류,525,1033.9,10.9,-,-,73,521.3
2154,인절미눈꽃빙수,아이스크림류,빙수류,608,1075,17.3,-,-,76.1,596.5
2155,쿠앤크눈꽃빙수(일반),아이스크림류,빙수류,718,1117.2,14.4,-,-,90.2,780.3
2156,쿠앤크눈꽃빙수(우유),아이스크림류,빙수류,550,964.3,13.4,-,-,93.8,635.8
2157,밀크눈꽃빙수(일반),아이스크림류,빙수류,735,893.8,18.4,-,-,73.3,406.5
2158,밀크눈꽃빙수(우유),아이스크림류,빙수류,585,826.3,16.5,-,-,95.8,368.7
2159,달달하구마빙수,아이스크림류,빙수류,656,888.8,13.6,-,-,69.7,371.6
2160,딸기빙수,아이스크림류,빙수류,560,412,5.7,-,-,41.5,124.1
2161,쿠키마우스빙수,아이스크림류,빙수류,592,919.1,7.9,-,-,86.7,651.5
2162,컵커피빙수,아이스크림류,빙수류,280,238.7,4.2,-,-,20.4,92.6
2163,컵딸기빙수,아이스크림류,빙수류,355,313.5,4.5,-,-,26.7,97.1
2164,컵팥빙수,아이스크림류,빙수류,361,392.4,5.9,-,-,20.9,182.3
2165,팥빙수,아이스크림류,빙수류,653,685.6,10.4,-,-,47,315.6
2166,커피빙수,아이스크림류,빙수류,510,393.1,7.5,-,-,45.1,150.8
2167,녹차빙수,아이스크림류,빙수류,470,391.2,6.2,-,-,45.9,110.1
2168,바닐라품었슈,빵류,기타 빵류,139,169.7,2.4,-,-,12.2,26.9
2169,딸기탑 마마츄리,빵류,페이스트리류,274,657.9,10.7,-,-,45.2,193.7
2170,시나몬 멜츠 브레드,빵류,기타 빵류,110,487,8,-,-,31,323
2171,리치골드브레드,빵류,기타 빵류,409,1263.2,53,-,-,32.9,1648.1
2172,허니치즈퐁당마마츄리,빵류,페이스트리류,187,597,20.5,-,-,14.5,461.8
2173,잉글리쉬머핀,빵류,샌드위치류,120,262,14,-,-,4,56
2174,치즈스틱케이크,빵류,케이크류,45,106,2,-,-,7,50
2175,고구마스틱케이크,빵류,케이크류,45,106,2,-,-,7,50
2176,블루베리스틱케이크,빵류,케이크류,45,122,3,-,-,4,80
2177,초코스틱케이크,빵류,케이크류,45,146,3,-,-,9,75
2178,초코 퐁당 마마츄리,빵류,페이스트리류,205,670.6,9.9,-,-,38.7,194.5
2179,블루베리 퐁당 마마츄리,빵류,페이스트리류,230,611.1,9.3,-,-,28.8,232.2
2180,라즈베리 퐁당 마마츄리,빵류,페이스트리류,230,618.7,9.5,-,-,32,206
2181,크로크무슈,빵류,샌드위치류,140,388,10,-,-,16,214
2182,플레인베이글,빵류,식빵류,113,317.1,12,-,-,12.4,470
2183,어니언베이글,빵류,식빵류,113,328.7,11,-,-,14.9,470
2184,크림치즈프레즐,빵류,페이스트리류,99,250,8,-,-,5,330
2185,블루베리베이글,빵류,식빵류,113,345.6,12,-,-,18.1,350
2186,스콘(건포도),빵류,기타 빵류,90,437,5,-,-,19,394
2187,스콘(시나몬호두),빵류,기타 빵류,90,366,4,-,-,19,148
2188,치즈번,빵류,기타 빵류,60,235,4,-,-,10,140
2189,모카번,빵류,기타 빵류,60,240,4,-,-,4,190
2190,초코머핀,빵류,케이크류,140,560,11,-,-,39.5,406
2191,블루베리머핀,빵류,케이크류,140,571,7.9,-,-,40.5,438.5
2192,마카다미아넛쿠키,과자류,쿠키.비스킷류,38,185,2,-,-,12,160
2193,록키로드쿠키,과자류,쿠키.비스킷류,38,180,2,-,-,13,130
2194,초콜렛칩청크쿠키,과자류,쿠키.비스킷류,38,180,2,-,-,13,170
2195,오트밀레이즌쿠키,과자류,쿠키.비스킷류,38,170,2,-,-,13,150
2196,플레인와플,빵류,기타 빵류,110,351,3,-,-,16.4,144.1
2197,카라멜월넛와플,빵류,기타 빵류,123,403.7,3.5,-,-,23,144.9
2198,초코와플,빵류,기타 빵류,110,351,3,-,-,16.4,144.1
2199,메이플아몬드와플,빵류,기타 빵류,123,395.7,3.6,-,-,23.5,148.8
2200,아이스크림와플,빵류,기타 빵류,134,343.6,4,-,-,19.9,148.2
2201,블루베리크림치즈와플,빵류,기타 빵류,148,429.6,4.2,-,-,29.1,298.5
2202,라즈베리바나나와플,빵류,기타 빵류,240,505.2,4.3,-,-,53.9,147.3
2203,스페셜마마와플,빵류,기타 빵류,459,861,9.1,-,-,79.6,734
2204,피넛버터브레드,빵류,기타 빵류,297,1050.5,32.6,-,-,23.6,910
2205,카라멜브레드,빵류,기타 빵류,258,984,17.1,-,-,34.2,819.6
2206,초콜릿브레드,빵류,기타 빵류,273,708.8,38.4,-,-,130.4,793.6
2207,갈릭치즈브레드,빵류,기타 빵류,238,877.5,26.2,-,-,12.7,1069.5
2208,치즈크림 초콜릿 라떼,음료 및 차류,기타 음료류,411,415,15,-,-,32,196
2209,치즈크림 스트로베리 라떼,음료 및 차류,기타 음료류,411,340,7,-,-,35,120
2210,치즈크림 후르츠 피치 티,음료 및 차류,차류,406,250,1,-,-,20,80
2211,아이스 흑당 카페라떼,음료 및 차류,커피류,405,210,9,-,-,28,55
2212,흑당 카페라떼,음료 및 차류,커피류,405,210,9,-,-,28,55
2213,흑당 곡물라떼,음료 및 차류,기타 음료류,390,265,14,-,-,22,70
2214,아이스 흑당 곡물라떼,음료 및 차류,기타 음료류,390,265,14,-,-,22,70
2215,TWG 흑당 버블 밀크티,음료 및 차류,차류,413,280,10,-,-,38,70
2216,애플민트티,음료 및 차류,차류,312,105,0,-,-,24,10
2217,아이스 그나와 민트티,음료 및 차류,차류,383,0,0,-,-,0,0
2218,1837 블랙티(아이스),음료 및 차류,차류,383,0,0,-,-,0,0
2219,카모마일,음료 및 차류,차류,383,0,0,-,-,0,0
2220,크림 카라멜,음료 및 차류,차류,383,0,0,-,-,0,0
2221,프렌치 얼그레이,음료 및 차류,차류,383,0,0,-,-,0,0
2222,1837 블랙티,음료 및 차류,차류,383,0,0,-,-,0,0
2223,상그리아 에이드,음료 및 차류,탄산음료류,505,250,0,-,-,0,5
2224,레몬 셔벗 에이드,음료 및 차류,탄산음료류,505,210,0,-,-,0,10
2225,허니레몬 아이스티,음료 및 차류,차류,361,105,0,-,-,23,0
2226,오렌지자몽티,음료 및 차류,차류,360,157,2,-,-,37,26
2227,고구마 라떼,음료 및 차류,기타 음료류,360,342,16,-,-,41,153
2228,유자 레몬티,음료 및 차류,차류,354,255,0,-,-,58,40
2229,로얄 밀크티,음료 및 차류,차류,354,290,60,-,-,30,190
2230,롱블랙,음료 및 차류,커피류,280,10,2,-,-,0.7,5
2231,아이스 롱블랙,음료 및 차류,커피류,300,10,2,-,-,0.7,5
2232,제주 말차 프라페,음료 및 차류,스무디류,420,410,16,-,-,61,120
2233,아이스 숏라떼,음료 및 차류,커피류,300,110,12,-,-,2,75
2234,로얄 밀크티 쉐이크,음료 및 차류,스무디류,395,480,18,-,-,33,140
2235,자몽 에이드,음료 및 차류,탄산음료류,480,275,10,-,-,40,95
2236,카라멜 마키아또 R,음료 및 차류,커피류,354,250,15,-,-,15,115
2237,카라멜 마키아또 L,음료 및 차류,커피류,480,340,20,-,-,21,150
2238,스트로베리 피치 프라페,음료 및 차류,스무디류,420,265,2,-,-,58,10
2239,오렌지 에이드,음료 및 차류,탄산음료류,480,135,2,-,-,33,40
2240,카페 아메리카노 R,음료 및 차류,커피류,354,15,2,-,-,0.7,5
2241,카페 아메리카노 L,음료 및 차류,커피류,480,20,2,-,-,0.7,5
2242,카푸치노 R,음료 및 차류,커피류,354,140,15,-,-,2,105
2243,카푸치노 L,음료 및 차류,커피류,480,190,22,-,-,3,140
2244,에스프레소 마키아또 더블,음료 및 차류,커피류,70,15,1,-,-,0,0
2245,아이스 초콜릿 라떼 R,음료 및 차류,커피류,420,465,17,-,-,39,170
2246,아이스 초콜릿 라떼 L,음료 및 차류,커피류,480,430,20,-,-,45,200
2247,아이스 바닐라 라떼 R,음료 및 차류,커피류,420,235,15,-,-,36,100
2248,아이스 바닐라 라떼 L,음료 및 차류,커피류,480,270,17,-,-,41,120
2249,에스프레소 마키아또 싱글,음료 및 차류,커피류,35,10,1,-,-,0,0
2250,카페 모카 R,음료 및 차류,커피류,354,295,15,-,-,25,130
2251,카페 모카 L,음료 및 차류,커피류,480,405,22,-,-,35,170
2252,아이스 커피 R,음료 및 차류,커피류,420,10,0,-,-,0,10
2253,아이스 커피 L,음료 및 차류,커피류,480,10,0,-,-,0,10
2254,아이스 카페 라떼 R,음료 및 차류,커피류,420,155,17,-,-,3,110
2255,아이스 카페 라떼 L,음료 및 차류,커피류,480,175,20,-,-,3,120
2256,에스프레소 콘 파나 더블,음료 및 차류,커피류,70,90,2,-,-,2.3,5
2257,콜드브루,음료 및 차류,커피류,360,10,2,-,-,2,15
2258,커피 쉐이크,음료 및 차류,스무디류,420,460,12,-,-,47,169
2259,아이스 그린티 라떼,음료 및 차류,기타 음료류,420,270,18,-,-,20,130
2260,아이스 카페 아메리카노 R,음료 및 차류,커피류,420,15,2,-,-,0,10
2261,아이스 카페 아메리카노 L,음료 및 차류,커피류,480,20,2,-,-,0,10
2262,카페 라떼 R,음료 및 차류,커피류,354,150,15,-,-,4,80
2263,카페 라떼 L,음료 및 차류,커피류,480,200,22,-,-,5,110
2264,콜드브루 라떼,음료 및 차류,커피류,360,75,7,-,-,7,65
2265,초코 쉐이크,음료 및 차류,스무디류,420,565,15,-,-,38,182
2266,아이스 카페 모카 R,음료 및 차류,커피류,420,270,13,-,-,37,90
2267,아이스 카페 모카 L,음료 및 차류,커피류,480,310,15,-,-,42,100
2268,티라미수 라떼,음료 및 차류,커피류,360,522,18,-,-,20,247
2269,바닐라 쉐이크,음료 및 차류,스무디류,420,445,13,-,-,46,176
2270,에스프레소 콘 파나 싱글,음료 및 차류,커피류,35,45,2,-,-,0.7,5
2271,시그니처 라떼,음료 및 차류,커피류,237,235,7,-,-,5,35
2272,바닐라 라떼 R,음료 및 차류,커피류,354,190,15,-,-,17,110
2273,바닐라 라떼 L,음료 및 차류,커피류,480,260,20,-,-,24,145
2274,숏라떼,음료 및 차류,커피류,280,115,12,-,-,2,75
2275,요거 프라페 R,음료 및 차류,스무디류,420,290,3,-,-,43,140
2276,요거 프라페 L,음료 및 차류,스무디류,480,330,5,-,-,49,160
2277,아이스 카라멜 마키아또 R,음료 및 차류,커피류,420,190,13,-,-,14,230
2278,아이스 카라멜 마키아또 L,음료 및 차류,커피류,480,215,15,-,-,16,270
2279,초콜릿 라떼,음료 및 차류,기타 음료류,354,260,17,-,-,37,130
2280,에스프레소 싱글,음료 및 차류,커피류,30,5,1,-,-,1,10
2281,버블 밀크티 R,음료 및 차류,차류,420,300,10,-,-,36,110
2282,버블 밀크티 L,음료 및 차류,차류,480,340,12,-,-,41,130
2283,모카칩 프라페 R,음료 및 차류,스무디류,420,355,8,-,-,42,250
2284,모카칩 프라페 L,음료 및 차류,스무디류,480,410,10,-,-,48,290
2285,그린티 라떼,음료 및 차류,기타 음료류,354,255,19,-,-,20,120
2286,오렌지 자몽 주스,음료 및 차류,과일.채소음료류,480,115,7,-,-,22,115
2287,카라멜 프라페 R,음료 및 차류,스무디류,420,355,15,-,-,38,270
2288,카라멜 프라페 L,음료 및 차류,스무디류,480,385,17,-,-,43,310
2289,에스프레소 더블,음료 및 차류,커피류,60,10,3,-,-,0,25
2290,키위 바나나 주스,음료 및 차류,과일.채소음료류,480,270,5,-,-,41,140
2291,버블 그린티 라떼 R,음료 및 차류,기타 음료류,420,345,1,-,-,23,135
2292,버블 그린티 라떼 L,음료 및 차류,기타 음료류,480,385,20,-,-,26,155
2293,망고 프라페 R,음료 및 차류,스무디류,420,305,3,-,-,56,45
2294,망고 프라페 L,음료 및 차류,스무디류,480,350,5,-,-,64,50
2295,오늘의 커피 R,음료 및 차류,커피류,354,15,2,-,-,0,10
2296,오늘의 커피 L,음료 및 차류,커피류,480,25,2,-,-,0,10
2297,떠먹는 헤이즐넛 생크림 크레이프,빵류,케이크류,179,585,13,-,-,40,100
2298,모어 댄 쿠키 앤 크림,과자류,쿠키.비스킷류,155,390,4,-,-,31,85
2299,퀸즈 캐롯,빵류,케이크류,179,575,12,-,-,36,470
2300,비 마이 민트,빵류,케이크류,157,500,16,-,-,27,200
2301,비 마이 스트로베리,빵류,케이크류,154,410,9,-,-,33,120
2302,블랙 벨벳,빵류,케이크류,151,525,10,-,-,40,280
2303,딸기 생크림,빵류,케이크류,117,305,7,-,-,27,95
2304,카푸치노 생크림,빵류,케이크류,157,435,7,-,-,21,115
2305,유자 레몬 마카롱,과자류,기타 과자류,25,105,2,-,-,11,10
2306,초콜릿 크렘슈,빵류,케이크류,120,355,9,-,-,0,100
2307,마다가스카르 바닐라 마카롱,과자류,기타 과자류,25,100,2,-,-,10,15
2308,바닐라 크렘슈,빵류,케이크류,126,360,11,-,-,18,130
2309,생크림 피칸 타르트,빵류,케이크류,105,410,11,-,-,27,60
2310,생크림 소프트 쉬폰,빵류,케이크류,82,310,33,-,-,12,95
2311,러브 시그널,빵류,케이크류,92,270,7,-,-,18,55
2312,바닐라 크렘 브륄레,빵류,케이크류,168,420,16,-,-,30,490
2313,TWG 밀크티 쉬폰,빵류,케이크류,106,280,7,-,-,26,95
2314,더치 솔티드 카라멜,빵류,케이크류,129,460,13,-,-,20,240
2315,까망베르 치즈,빵류,케이크류,97,385,11,-,-,17,170
2316,떠먹는 스트로베리 초콜릿 생크림,빵류,케이크류,71,205,5,-,-,12,55
2317,떠먹는 티라미수,빵류,케이크류,144,475,15,-,-,24,75
2318,벨지안 가나슈,빵류,케이크류,149,695,16,-,-,50,200
2319,떠먹는 딸기 레어 치즈,빵류,케이크류,163,455,13,-,-,34,210
2320,떠먹는 아이스박스,빵류,케이크류,190,775,14,-,-,36,460
2321,그뤼에르 치즈 무스,빵류,케이크류,130,450,10,-,-,22,180
2322,초코롱 프랄리네,과자류,기타 과자류,16,70,2,-,-,5,10
2323,초코롱 바닐라,과자류,기타 과자류,16,70,2,-,-,5,10
2324,초코롱 피스타치오,과자류,기타 과자류,16,65,2,-,-,4,10
2325,초코롱 오렌지,과자류,기타 과자류,16,65,2,-,-,5,5
2326,초코롱 산딸기,과자류,기타 과자류,16,60,4,-,-,5,5
2327,초코롱 바나나,과자류,기타 과자류,16,65,2,-,-,5,5
2328,트리플 초콜릿 무스,빵류,케이크류,112,365,9,-,-,22,85
2329,뉴욕 치즈,빵류,케이크류,102,365,11,-,-,22,210
2330,블루베리 파블랑,과자류,쿠키.비스킷류,232,270,9,-,-,27,75
2331,쇼콜라 쿠키 파블랑,과자류,쿠키.비스킷류,220,355,11,-,-,23,190
2332,소프트 아이스크림_콘,아이스크림류,아이스크림류,135,325,10,-,-,21,160
2333,소프트 아이스크림_컵,아이스크림류,아이스크림류,110,195,7,-,-,17,70
2334,산딸기 마카롱,과자류,기타 과자류,17,75,2,-,-,9,10
2335,로즈베리 생크림,과자류,기타 과자류,117,305,7,-,-,27,95
2336,그린티 마카롱,과자류,기타 과자류,17,75,2,-,-,9,10
2337,벨지안 초콜릿 마카롱,과자류,기타 과자류,17,85,2,-,-,8,10
2338,블루베리 마카롱,과자류,기타 과자류,17,70,2,-,-,8,10
2339,레드 벨벳,빵류,케이크류,153,375,4,-,-,16,80
2340,딸기 요거,빵류,케이크류,107,260,5,-,-,26,100
2341,바닐라 아포가토,아이스크림류,아이스크림류,227,275,10,-,-,16,60
2342,클래식 가토,빵류,케이크류,107,275,9,-,-,16,70
2343,스파이시 튜나 바게트,빵류,샌드위치류,268,540,40,-,-,1,990
2344,플레인 그릭 요거트,음료 및 차류,우유.유제품류,170,230,13,-,-,21,120
2345,허니 바나나 그릭 요거트,음료 및 차류,우유.유제품류,175,220,10,-,-,16,95
2346,스트로베리 그릭 요거트,음료 및 차류,우유.유제품류,162,210,10,-,-,20,95
2347,에그 브리오슈,빵류,샌드위치류,90,185,14,-,-,6,220
2348,애플 고다 프렌치토스트,빵류,샌드위치류,125,285,14,-,-,5,260
2349,핫치킨 치아바타,빵류,샌드위치류,127,150,11,-,-,3,290
2350,초리조&모짜렐라 크루아상,빵류,페이스트리류,94,330,27,-,-,3,500
2351,애플&까마에르 크루아상,빵류,페이스트리류,133,400,18,-,-,6,460
2352,그릴드포카치아갈릭치킨,빵류,샌드위치류,163,300,30,-,-,2,610
2353,그릴드포카치아햄&치즈,빵류,샌드위치류,145,300,27,-,-,1,730
2354,핫치킨베이크,빵류,샌드위치류,227,485,53,-,-,3,930
2355,불고기베이크,빵류,샌드위치류,215,475,44,-,-,2,960
2356,토마토모짜렐라랩,빵류,샌드위치류,251,455,40,-,-,2,920
2357,시저치킨랩,빵류,샌드위치류,194,395,38,-,-,4,960
2358,올리브 치킨 파니니,빵류,샌드위치류,206,590,64,-,-,8,1310
2359,칠리 소시지 바게트 샌드위치,빵류,샌드위치류,227,430,38,-,-,2,960
2360,할라피뇨 스테이크 바게트 샌드위치,빵류,샌드위치류,244,535,38,-,-,4,1520
2361,레즌 스콘,빵류,기타 빵류,90,330,11,-,-,12,170
2362,오리지널 스콘,빵류,기타 빵류,90,335,11,-,-,9,170
2363,멜팅치즈 깜파뉴 토스트,빵류,샌드위치류,131,300,33,-,-,3,650
2364,투썸뉴트리션바,기타,기타,30,125,6,-,-,7,50
2365,오렌지쇼콜라파운드,빵류,케이크류,88,315,7,-,-,27,65
2366,TWG밀크티파운드,빵류,케이크류,69,255,5,-,-,17,60
2367,햄&치즈 퀘사디아,빵류,샌드위치류,197,465,49,-,-,2,940
2368,쇼콜라 쿠키,과자류,쿠키.비스킷류,100,535,15,-,-,17,150
2369,크랜베리 쿠키,과자류,쿠키.비스킷류,90,455,9,-,-,47,190
2370,화이트 버터 쿠키,과자류,쿠키.비스킷류,85,420,7,-,-,23,70
2371,페스토 햄치즈 파니니,빵류,샌드위치류,186,535,44,-,-,4,780
2372,멕시칸 파니니,빵류,샌드위치류,218,550,49,-,-,6,1055
2373,크로크무슈,빵류,샌드위치류,155,415,44,-,-,5,750
2374,스윗버터 토스트,빵류,기타 빵류,90,265,9,-,-,1,610
2375,스윗버터 토스트 위드베리,빵류,기타 빵류,109,276,9,-,-,1,610
2376,바비큐 치킨 파니니,빵류,샌드위치류,271,590,78,-,-,17,1440
2377,더블초콜릿머핀,빵류,케이크류,120,495,11,-,-,26,450
2378,라즈베리초코칩머핀,빵류,케이크류,125,460,11,-,-,26,430
2379,오리지널블루베리머핀,빵류,케이크류,120,470,11,-,-,33,410
2380,다크초콜릿쿠키,과자류,쿠키.비스킷류,67,190,4,-,-,11,110
2381,피넛버터쿠키,과자류,쿠키.비스킷류,67,175,5,-,-,9,150
2382,후무스&베지스틱,생채및 무침류,샐러드,302,126,16,-,-,0,105
2383,쉬림프 그릭 샐러드,생채및 무침류,샐러드,191,171,20,-,-,0,670
2384,쉬림프 콥 샐러드,생채및 무침류,샐러드,227,205,38,-,-,0,280
2385,아보카도 콥 샐러드,생채및 무침류,샐러드,252,250,39,-,-,0,300
2386,카프레제 샐러드,생채및 무침류,샐러드,212,175,20,-,-,2,570
2387,허브치킨 가든샐러드,생채및 무침류,샐러드,222,180,29,-,-,0,225
2388,B.E.L.T 샌드위치,빵류,샌드위치류,264,585,47,-,-,10,1120
2389,그릴드치킨 시저샐러드,생채및 무침류,샐러드,177,235,38,-,-,0,530
2390,건강한컵 리프레쉬,생채및 무침류,샐러드,150,75,1,-,-,10,3
2391,사이드 샐러드,생채및 무침류,샐러드,72,20,2,-,-,0,35
2392,토마토 모짜렐라,생채및 무침류,샐러드,210,465,44,-,-,3,985
2393,스트로베리 시트론 샐러드,생채및 무침류,샐러드,112,70,2,-,-,0,45
2394,레몬치킨클럽,생채및 무침류,샐러드,288,710,64,-,-,6,1060
2395,카프레제 발사믹 샐러드,생채및 무침류,샐러드,116,170,7,-,-,1,250
2396,토마토 베이컨 블루밍브레드,빵류,기타 빵류,96,245,22,-,-,2,620
2397,6치즈 블루밍브레드,빵류,기타 빵류,94,300,25,-,-,0,570
2398,리코타치즈올리브 샐러드,생채및 무침류,샐러드,185,120,7,-,-,1,200
2399,화이트 포레스트 생크림,빵류,케이크류,637,1785,42,-,-,145,530
2400,모어 댄 쿠키 앤 크림 2호,과자류,쿠키.비스킷류,1273,3125,42,-,-,262,650
2401,스트로베리 초콜릿 생크림,빵류,케이크류,721,1550,47,-,-,108,470
2402,모어 댄 쿠키 앤 크림 1호,과자류,쿠키.비스킷류,880,2110,27,-,-,189,430
2403,딸기 생크림,빵류,케이크류,716,1760,38,-,-,134,490
2404,마스카포네 티라미수,빵류,케이크류,708,2025,71,-,-,108,580
2405,마스카포네 생크림(믹스드베리),빵류,케이크류,1044,2620,38,-,-,66,420
2406,마스카포나 생크림(천도복숭아),빵류,케이크류,1055,3255,38,-,-,173,410
2407,마스카포나 생크림(자몽/오렌지),빵류,케이크류,1025,2610,40,-,-,62,410
2408,레드 벨벳,빵류,케이크류,828,2050,41,-,-,175,900
2409,뉴욕 치즈,빵류,케이크류,840,2545,70,-,-,190,1590
2410,그뤼에르 치즈 무스,빵류,케이크류,703,2475,60,-,-,114,880
2411,퀸즈 캐롯,빵류,케이크류,828,2640,65,-,-,169,2180
2412,벨지안 멜팅 가나슈,빵류,케이크류,893,3250,76,-,-,242,740
2413,비 마이 스트로베리,빵류,케이크류,737,1990,45,-,-,154,590
2414,비 마이 민트,빵류,케이크류,775,2470,76,-,-,135,920
2415,리얼 생크림 2호,빵류,케이크류,1054,2630,60,-,-,196,730
2416,블랙 벨벳,빵류,케이크류,843,2935,61,-,-,218,1530
2417,카푸치노 생크림,빵류,케이크류,723,2005,44,-,-,103,620
2418,러브 시그널,빵류,케이크류,504,1525,43,-,-,96,390
2419,바닐라 크렘 브륄레,빵류,케이크류,794,1920,76,-,-,140,400
2420,로즈베리 생크림,빵류,케이크류,466,1325,32,-,-,93,380
2421,TWG 밀크티 쉬폰,빵류,케이크류,636,1975,49,-,-,121,770
2422,더치 솔티드 카라멜,빵류,케이크류,643,2275,61,-,-,87,1170
2423,까망베르 치즈,빵류,케이크류,461,1815,56,-,-,77,810
2424,요거 생크림 1호,빵류,케이크류,608,1310,34,-,-,112,430
2425,믹스드베리 초콜릿 생크림,빵류,케이크류,635,1575,45,-,-,122,470
2426,요거 생크림 2호,빵류,케이크류,887,1920,49,-,-,175,650
2427,트리플 초콜릿 무스,빵류,케이크류,663,2180,54,-,-,126,510
2428,블랙 포레스트,빵류,케이크류,557,1900,29,-,-,124,190
2429,클래식 가토,빵류,케이크류,522,1355,44,-,-,82,360
2430,초코 쉬폰,빵류,케이크류,635,2085,60,-,-,140,900
2431,장미 요거 생크림,빵류,케이크류,529,1470,41,-,-,117,510
2432,블루베리 쉬폰,빵류,케이크류,837,2065,49,-,-,175,820
2433,스트로베리 초콜릿 생크림 파티팩,빵류,케이크류,1278,3690,84,-,-,222,1020
2434,프렌지 허니 크레이프 파티팩,빵류,케이크류,966,2880,78,-,-,162,780
2435,생크림 피칸 타르트,빵류,케이크류,791,3105,80,-,-,206,480
2436,딸기 레어 치즈 파티팩,빵류,케이크류,978,2730,78,-,-,204,1260
2437,아이스박스 파티팩,빵류,케이크류,1140,4650,84,-,-,216,2760
2438,티라미수 파티팩,빵류,케이크류,864,2850,90,-,-,144,450
2439,요거하트,빵류,케이크류,687,1695,49,-,-,145,660
2440,에스프레소,음료 및 차류,커피류,20,7,0.4,-,-,0,-
2441,에스프레소 도피오,음료 및 차류,커피류,40,14,0.8,-,-,0,-
2442,에스프레소 마끼아또,음료 및 차류,커피류,50,24.5,1.3,-,-,0,-
2443,오르조,음료 및 차류,커피류,326,295.5,8.7,-,-,38.3,-
2444,로마노S,음료 및 차류,커피류,167,123.8,4.1,-,-,17.8,-
2445,로마노R,음료 및 차류,커피류,311,264.9,7.1,-,-,37.6,-
2446,비체린,음료 및 차류,커피류,196,262.4,6.3,-,-,28.7,-
2447,아포가또,음료 및 차류,커피류,121,144.7,3,-,-,6.1,-
2448,모카포트 아포가또,음료 및 차류,커피류,150,162.5,4,-,-,17,-
2449,샤케라또,음료 및 차류,커피류,470,16.5,1,-,-,0,-
2450,아이스 오리지널드립커피R,음료 및 차류,커피류,350,53,3.5,-,-,0,-
2451,아이스 오리지널드립커피L,음료 및 차류,커피류,460,68,4.9,-,-,0,-
2452,아이스 아메리카노R,음료 및 차류,커피류,370,11.7,0.5,-,-,0,-
2453,아이스 아메리카노L,음료 및 차류,커피류,470,16.7,1,-,-,0,-
2454,아이스 카페라떼R,음료 및 차류,커피류,370,121,5.5,-,-,5.4,-
2455,아이스 카페라떼L,음료 및 차류,커피류,470,138.6,6.7,-,-,5.3,-
2456,아이스 카라멜라떼 마끼아또R,음료 및 차류,커피류,390,201.4,5.7,-,-,19,-
2457,아이스 카라멜라떼 마끼아또L,음료 및 차류,커피류,490,235.5,6.7,-,-,27.2,-
2458,아이스 바닐라라떼 마끼아또R,음료 및 차류,커피류,385,181.2,5.5,-,-,26.9,-
2459,아이스 바닐라라떼 마끼아또L,음료 및 차류,커피류,500,215.3,6.9,-,-,31.4,-
2460,아이스 화이트초콜릿라떼 마끼아또R,음료 및 차류,커피류,390,188.5,5.7,-,-,19.2,-
2461,아이스 화이트초콜릿라떼 마끼아또L,음료 및 차류,커피류,510,239.1,6.7,-,-,26.1,-
2462,아이스 카페모카R,음료 및 차류,커피류,386,257.4,6,-,-,17.9,-
2463,아이스 카페모카L,음료 및 차류,커피류,501,327.7,7.7,-,-,30.3,-
2464,콜드브루 라떼,음료 및 차류,커피류,360,80.2,4.1,-,-,7.3,-
2465,콜드브루 아메리카노,음료 및 차류,커피류,360,11.5,1.3,-,-,0,-
2466,니트로 콜드브루,음료 및 차류,커피류,360,12.3,0.7,-,-,0,-
2467,오리지널 드립커피R,음료 및 차류,커피류,300,40.3,3,-,-,0,-
2468,오리지널 드립커피L,음료 및 차류,커피류,400,56.6,3.8,-,-,0,-
2469,아메리카노R,음료 및 차류,커피류,300,14.9,1.1,-,-,0,-
2470,아메리카노L,음료 및 차류,커피류,380,16.7,1.2,-,-,0,-
2471,카페라떼R,음료 및 차류,커피류,270,175,7.7,-,-,11.5,-
2472,카페라떼L,음료 및 차류,커피류,360,231,10.2,-,-,15,-
2473,카푸치노,음료 및 차류,커피류,280,159.3,7.5,-,-,12.2,-
2474,헤이즐넛 카푸치노,음료 및 차류,커피류,305,182.6,7.2,-,-,13.8,-
2475,카라멜 라떼 마끼아또R,음료 및 차류,커피류,295,229,7,-,-,17.6,-
2476,카라멜 라떼 마끼아또L,음료 및 차류,커피류,385,300,9.5,-,-,26.1,-
2477,바닐라 라떼 마끼아또R,음료 및 차류,커피류,285,187,6.9,-,-,20,-
2478,바닐라 라떼 마끼아또L,음료 및 차류,커피류,375,257,8.9,-,-,30,-
2479,화이트초콜릿 라떼마끼아또R,음료 및 차류,커피류,295,222,7.2,-,-,22.5,-
