NO,식품명,식품대분류,식품상세분류,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎)
68,쑥떡,곡류 및 서류,떡류,100,248.63,3.36,0.4,57.89,10.72,254.32
69,절편,곡류 및 서류,떡류,100,192.89,3.64,0.28,43.94,0.07,265.87
70,찹쌀떡,곡류 및 서류,떡류,100,276.87,3.26,0.15,65.61,17.54,225.61
71,간자장,면 및 만두류,중식면류,650,824.54,22.33,22.03,134.22,12.16,2716.2
72,굴짬뽕,면 및 만두류,중식면류,900,680.67,32.87,9.6,115.69,1.7,2662.35
73,기스면,면 및 만두류,중식면류,1000,606.93,37.82,10.72,89.79,0.5,2764.59
74,김치라면,면 및 만두류,라면류,650,552,13.8,16.9,86.2,1.2,2531.6
75,김치우동,면 및 만두류,중식면류,800,500.18,15.55,4.6,99.14,2.13,2874.6
76,냉김치말이국수,면 및 만두류,국수류,600,302.53,12.9,4.8,52,8.3,2121.62
77,닭칼국수,면 및 만두류,국수류,900,663,42.2,12.8,94.7,5.3,2125.17
78,둘깨칼국수,면 및 만두류,국수류,600,457.88,17.6,16.5,59.8,1.4,1192.57
79,막국수,면 및 만두류,국수류,1000,571.59,20,5.8,109.8,9.4,3260.05
80,삼선우동,면 및 만두류,중식면류,1000,691.66,47.94,8.48,105.9,0.8,2722.32
81,삼선자장면,면 및 만두류,중식면류,700,803.9,33.64,18.14,126.53,10.15,2628.24
82,삼선짬뽕,면 및 만두류,중식면류,900,662.37,39.63,10.77,101.73,1.09,2689.13
83,쌀국수,면 및 만두류,국수류,600,320.32,15.6,4.2,55.1,4.3,1651.58
84,열무김치국수,면 및 만두류,국수류,800,431,15,10.2,69.6,18.6,3007.45
85,열무냉면,면 및 만두류,중식면류,800,525.49,20.84,5.78,97.52,27.15,3152.37
86,오일소스스파게티,면 및 만두류,스파게티류,400,646.74,19.56,23.43,89.42,1.41,1124.33
87,올갱이국수,면 및 만두류,국수류,1500,566,11.2,8.3,111.6,18.6,3862.84
88,우동(일식),면 및 만두류,중식면류,700,421.51,13.39,7.91,74.2,2.48,2390.32
89,우동(중식),면 및 만두류,중식면류,1000,648.47,29.45,21.02,85.37,1.1,3395.86
90,울면,면 및 만두류,중식면류,1000,728.86,37.46,7.37,128.18,0.5,2799.92
91,자장면,면 및 만두류,중식면류,650,796.5,19.77,20.32,133.63,7.8,2391.58
92,짬뽕라면,면 및 만두류,라면류,750,689,21.3,26.3,92,1.6,2493.81
93,치즈라면,면 및 만두류,라면류,600,595,16.8,23,80,0.9,2113.4
94,크림소스스파게티,면 및 만두류,스파게티류,400,837.57,21.79,50.59,73.76,9.17,1030.21
95,토마토소스스파게티,면 및 만두류,스파게티류,500,642.58,24.35,19.15,93.2,15.6,1508.63
96,해물칼국수,면 및 만두류,국수류,900,628.26,22.8,4.61,123.9,3.81,2355.07
97,해물크림소스스파게티,면 및 만두류,스파게티류,500,917.57,30.39,49.79,86.97,8.36,1323.7
98,해물토마토소스스파게티,면 및 만두류,스파게티류,500,584.44,27.97,13.73,87.24,13.48,1533.16
99,골뱅이무침,생채및 무침류,어패류무침,100,108.79,7.08,1.97,15.69,10.46,525.52
100,노각무침,생채및 무침류,나물.채소류무침,150,84,2.6,1.8,14.3,7.1,817.37
101,단무지무침,생채및 무침류,나물.채소류무침,50,20,0.5,0.8,2.8,0.7,428.92
102,달래나물무침,생채및 무침류,나물.채소류무침,150,136,4,2.8,23.8,11.2,867.04
103,더덕무침,생채및 무침류,나물.채소류무침,150,216,4.3,2.8,43.4,20.2,1246.58
104,도토리묵,기타,기타,100,45.6,0.29,0.32,10.38,0.43,124.15
105,밴댕이무침,생채및 무침류,어패류무침,400,600.01,29.8,33,46,27,1027.23
106,서대회무침,생채및 무침류,어패류무침,300,315.21,22.6,4.6,45.9,22.3,1198.9
107,쑥갓나물무침,생채및 무침류,나물.채소류무침,150,96,4.5,5.7,6.6,0.3,709.99
108,우거지나물무침,생채및 무침류,나물.채소류무침,150,129,4.5,8.5,8.7,1.5,772.52
109,쥐치채,생채및 무침류,어패류무침,20,55.92,2.75,0.15,10.89,4.55,296.34
110,청포묵무침,생채및 무침류,기타 생채.무침류,250,149,2.9,5.2,22.7,1.8,724.02
111,탕평채,생채및 무침류,기타 생채.무침류,100,97.5,3.55,3.81,12.26,0.39,260.4
112,홍어무침,생채및 무침류,어패류무침,200,198.94,17.85,2.63,25.95,14.46,802.04
113,고추장불고기 삼각김밥,밥류,김밥(초밥)류,100,165.29,3.66,1.58,34.11,0.21,342.92
114,곤드레나물밥,밥류,기타 밥류,350,521.83,10.3,9.5,98.9,0,90.62
115,국밥,밥류,기타 밥류,800,418.35,27.6,8.2,58.6,0.4,2301.55
116,농어초밥,밥류,김밥(초밥)류,250,396.74,17.43,1.34,78.75,13.01,1035.04
117,돼지국밥,밥류,기타 밥류,1200,911.4,66.4,38.6,74.7,0,1096.58
118,류산슬덮밥,밥류,덮밥류,550,574.99,26.96,19.04,73.95,0.42,1579.35
119,멍게비빔밥,밥류,비빔밥류,400,547.21,16.6,13.1,90.7,16.7,1144.8
120,멸치주먹밥,밥류,김밥(초밥)류,150,312,9,6.6,54.3,0.9,496.21
121,묵밥,밥류,기타 밥류,950,642.16,14.8,7.7,128.6,15.1,2075.5
122,문어초밥,밥류,김밥(초밥)류,250,392.23,14.61,0.74,81.78,13.38,1200.86
123,비빔밥,밥류,비빔밥류,450,691.62,24.6,22,98.7,18.3,1119.66
124,삼선볶음밥,밥류,볶음밥류,400,686.11,26.24,26.46,85.75,1.58,1213.56
125,새우초밥,밥류,김밥(초밥)류,250,387.67,16.8,0.75,78.42,11.65,1110.29
126,새우튀김롤,밥류,김밥(초밥)류,300,606.5,14.47,18.17,96.28,11.14,1391.43
127,샐러드김밥,밥류,김밥(초밥)류,250,405.95,9.62,13.52,61.45,3.42,911.18
128,생선초밥(광어),밥류,김밥(초밥)류,300,453.78,27.07,3.92,77.55,7.7,808.75
129,생선초밥(모듬),밥류,김밥(초밥)류,300,461.97,25.42,6.06,76.43,8.65,968.94
130,소고기국밥,밥류,기타 밥류,700,330.53,21.8,8.1,42.6,2.8,1786.31
131,소고기김밥,밥류,김밥(초밥)류,250,400.61,15.98,9.63,62.52,0.84,1061.19
132,송이덮밥,밥류,덮밥류,600,581.81,18.21,14.06,95.6,2.27,1678.01
133,숯불갈비 삼각김밥,밥류,김밥(초밥)류,100,161.24,4,1.67,32.55,0.16,358.36
134,약초비빔밥,밥류,비빔밥류,400,511.8,11.9,15.9,80.2,2.9,971.61
135,연어롤 (수정),밥류,김밥(초밥)류,300,500,18.57,15.4,74.32,8.47,1211.9
136,연어초밥,밥류,김밥(초밥)류,250,447.32,18.88,9.74,71.04,12.88,1064.38
137,오곡밥,밥류,쌀밥.잡곡밥류,250,388.82,11.95,1.3,82.32,0.17,113.9
138,자장밥,밥류,덮밥류,500,741.66,15.24,22.28,120.06,5.37,1560.38
139,잡탕밥,밥류,덮밥류,750,777.44,44.12,20.13,104.94,0.48,2109.52
140,장어덮밥,밥류,덮밥류,400,716.54,30.09,22.98,97.35,5.59,920.77
141,장어초밥,밥류,김밥(초밥)류,250,486.26,16.52,10.83,80.68,13.67,1270.91
142,참치덮밥,밥류,덮밥류,500,679.1,29.2,16.73,102.93,2.98,1618.74
143,참치마요네즈 삼각김밥,밥류,김밥(초밥)류,100,172.4,3.94,3.2,31.95,0.02,282.1
144,충무김밥,밥류,김밥(초밥)류,400,583.93,23.42,5.96,109.16,17.19,1294.27
145,캘리포니아롤,밥류,김밥(초밥)류,300,487.64,12.33,9.05,89.23,8.9,1295.88
146,한치초밥,밥류,김밥(초밥)류,250,374.18,13.71,0.85,77.92,13.13,1199.31
147,해물덮밥,밥류,덮밥류,700,771.93,42.04,22.44,100.45,1.19,1802.68
148,해물볶음밥,밥류,볶음밥류,400,705.22,25.1,27,90.46,1.22,1074.35
149,회덮밥,밥류,덮밥류,500,683.02,30.21,16.55,103.3,10.93,744.27
150,깻잎나물볶음,볶음류,채소류볶음,200,206,7.5,14.4,11.5,0.6,1042.68
151,돼지고기볶음,볶음류,육류볶음,200,350.67,22.96,20.67,18.21,8.2,1051.76
152,돼지껍데기볶음,볶음류,육류볶음,150,352,25.8,16.7,24.5,5.5,779.81
153,두부김치,볶음류,채소류볶음,250,288.21,19.47,17.11,14.08,1.49,989.69
154,머위나물볶음,볶음류,채소류볶음,150,108,3.5,7,7.6,1.8,718.63
155,멸치풋고추볶음,볶음류,어패류볶음,20,52.38,4.65,2.24,3.41,1.43,275.54
156,소세지볶음,볶음류,육류볶음,200,471,18.8,29.9,31.8,8.9,1436.06
157,순대볶음,볶음류,육류볶음,400,582,20.7,21.3,76.7,5.4,1500.35
158,양송이버섯볶음,볶음류,채소류볶음,150,136,4.5,8.3,11,1.2,515.17
159,오삼불고기,볶음류,육류볶음,200,363,25.6,19.9,20.5,7.6,885.09
160,주꾸미볶음,볶음류,어패류볶음,200,211.41,18.33,5.2,22.82,5.06,918.86
161,표고버섯볶음,볶음류,채소류볶음,150,142,4.5,6.7,15.8,2.6,574.8
162,해물볶음,볶음류,어패류볶음,400,419.06,38.2,15.3,32.2,7.4,1755.16
163,곰보빵,빵류,기타 빵류,70,277.34,6.31,9.27,42.16,11.73,202.25
164,만주,빵류,앙금빵류,70,222.49,5.13,1.64,46.8,22.45,118.19
165,버터크림빵,빵류,크림빵류,60,229.96,4.91,11.04,27.74,7.19,191.18
166,불고기피자,빵류,피자류,200,505,27.4,16.7,61.2,9.2,916.87
167,참치샌드위치,빵류,샌드위치류,250,555,23.3,35.1,36.5,10.1,915.59
168,찹쌀도우넛,빵류,도넛류,70,207.05,3.53,3.68,39.95,12.13,242.99
169,채소고로케,빵류,기타 빵류,100,300.65,7.13,16.38,31.19,3.37,403.33
170,초콜릿케이크,빵류,케이크류,100,420.24,5.31,24.96,43.6,23.13,170
171,치즈케이크,빵류,케이크류,100,329.14,7.23,20.63,28.64,15.28,200.67
172,치즈피자,빵류,피자류,200,553,31.4,15.8,71.2,6.8,949.96
173,페이스트리빵,빵류,페이스트리류,70,319.59,5.99,18.4,32.52,5.75,295.79
174,페퍼로니피자,빵류,피자류,200,532,29.4,14.8,70.3,7.5,945.22
175,포테이토피자,빵류,피자류,250,628,28,25.5,71.6,8.5,999.93
176,수정과,음료 및 차류,기타 음료류,150,133,0.6,5.47,20.34,20.69,9.72
177,식혜,음료 및 차류,기타 음료류,150,130.14,2.3,2.63,24.32,17.04,3.38
178,간장마늘쫑장아찌,장아찌 및 절임류,장아찌.절임류,50,30,1,0.5,5.4,3.9,813.64
179,고추장마늘쫑장아찌,장아찌 및 절임류,장아찌.절임류,50,55,1.3,0.9,10.5,5.6,707.34
180,매실장아찌,장아찌 및 절임류,장아찌.절임류,30,72.88,0.5,0.13,17.43,11.45,337.86
181,무장아찌,장아찌 및 절임류,장아찌.절임류,30,23.92,0.44,0.23,5.03,2.88,879.81
182,계적,전.적 및 부침류,적류,250,488.08,57.72,30.43,0,0,210.11
183,낙지꼬지,전.적 및 부침류,어패류전,80,75.35,13.14,1.28,2.83,0,207.07
184,돔베기적,전.적 및 부침류,적류,100,159.49,30.08,7.42,0,0,451.25
185,소고기산적,전.적 및 부침류,적류,200,453.07,48.41,25.57,7.33,0,1392.83
186,소라산적,전.적 및 부침류,적류,80,120.1,17.92,2.51,6.45,0.85,396.68
187,오징어산적,전.적 및 부침류,적류,80,101.71,17.37,1.98,3.6,0.92,477.11
188,홍어적,전.적 및 부침류,적류,100,89.15,23.59,0.66,0,0.28,323.53
189,홍합산적,전.적 및 부침류,적류,80,156.66,17.78,4.8,10.58,3.34,719.72
190,가자미전,전.적 및 부침류,어패류전,150,230.28,25.76,11.06,6.91,0.3,819.37
191,고추전,전.적 및 부침류,채소류전,150,274.69,12.91,17.22,17.01,2.17,362.21
192,굴전,전.적 및 부침류,어패류전,100,195,10.6,10.5,14.5,1.3,325.7
193,깻잎전,전.적 및 부침류,채소류전,150,361.1,17.74,25.78,14.54,1.06,480.15
194,녹두빈대떡,전.적 및 부침류,부침류,100,207.94,7.94,10.27,20.93,0.1,232.05
195,동그랑땡(육원전),전.적 및 부침류,육류전,150,309.2,19.62,20,12.68,0.98,553.09
196,동태전,전.적 및 부침류,어패류전,150,268.05,22.64,15.04,10.54,0.22,702.16
197,두부전,전.적 및 부침류,채소류전,150,254.64,20.46,15.87,7.5,0.03,317.15
198,미나리전,전.적 및 부침류,채소류전,150,226.41,5.24,7.62,34.23,1.74,248.7
199,배추전,전.적 및 부침류,채소류전,150,240.75,5.17,8.67,35.52,5.02,326.83
200,버섯전,전.적 및 부침류,채소류전,150,240.69,10.52,14.87,16.19,2.74,313.76
201,야채전,전.적 및 부침류,채소류전,100,194,5.4,9.5,21.6,2.4,321.52
202,파전,전.적 및 부침류,채소류전,150,292.8,6.83,14.03,34.81,0.79,345.96
203,햄부침,전.적 및 부침류,육류전,100,244,11.3,17.1,11.3,1,715.66
204,호박부침개,전.적 및 부침류,채소류전,100,129,3.9,8.1,10.1,3.6,174.33
205,호박전,전.적 및 부침류,채소류전,150,208.1,6.48,13.09,16.1,2.85,276.95
206,화양적,전.적 및 부침류,적류,150,272.65,13.58,14.77,21.35,1.21,797.03
207,가자미조림,조림류,어패류조림,300,297.98,37.1,7.1,21.5,10.5,1692.83
208,고추조림,조림류,채소류조림,100,111,3.3,4.9,13.4,7.1,779.1
209,동태조림,조림류,어패류조림,250,276,40.8,4.7,17.4,10.2,1391.69
210,돼지고기메추리알장조림,조림류,육류조림,50,63.49,8.34,1.85,3.37,1.27,582.99
211,북어조림,조림류,어패류조림,100,181.86,20.83,3.33,17.14,8.2,765.95
212,소고기메추리알장조림,조림류,육류조림,50,60.65,8.14,1.84,2.88,0.71,602.12
213,조기조림,조림류,어패류조림,300,384,41.1,18.8,12.8,4.5,1771.22
214,게살죽,죽 및 스프류,죽류,800,564.83,17.9,7.09,107.35,0.17,1453.82
215,깨죽,죽 및 스프류,죽류,800,515.35,13.66,15.94,79.31,3.59,1160.19
216,백합죽,죽 및 스프류,죽류,700,455.28,16.5,5.6,84.7,0,996.8
217,소고기버섯죽,죽 및 스프류,죽류,800,578.28,18.75,7.47,109.03,0.26,1261.8
218,어죽,죽 및 스프류,죽류,800,552.06,20.4,7.5,100.8,9.8,2105.53
219,잣죽,죽 및 스프류,죽류,700,874.48,19.18,19.63,155.28,2.36,878.81
220,참치죽,죽 및 스프류,죽류,800,659.6,24.19,16.06,104.57,1.36,1342.4
221,고등어찌개,찌개 및 전골류,어패류찌개.전골,600,601.62,48.9,33.7,25.6,7.4,2584.06
222,김치찌개,찌개 및 전골류,채소류찌개.전골,400,243.03,15.07,15,11.93,3.02,1962.14
223,꽁치찌개,찌개 및 전골류,어패류찌개.전골,300,355,24,23.3,12.2,5.9,1296.4
224,두부전골,찌개 및 전골류,채소류찌개.전골,500,315.16,25.6,16.1,17.1,3.5,1650.77
225,버섯찌개,찌개 및 전골류,채소류찌개.전골,400,167.56,14.7,5.2,15.4,4.4,1293.87
226,부대찌개,찌개 및 전골류,육류찌개.전골,600,399.5,18.4,18.6,39.7,6.2,2321.9
227,새우젓두부찌개,찌개 및 전골류,채소류찌개.전골,300,166,16.2,8.1,7.2,1.7,1123.08
